epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.25852,1.59008,3.16035,2.09782,0.0034,1,0.33367,0.09499,1.71077,3.86104,2.85204,5.001e-05,5.001e-05,5.001e-05
2,8.56861,1.25923,3.02783,1.81393,0.00336,1,0.67727,0.43603,1.10618,3.48696,1.81914,0.00011438,0.00011438,0.00011438
3,12.9213,0.9593,2.50824,1.47771,0.00331,1,0.81167,0.49881,1.03412,3.26442,1.67931,0.000176109,0.000176109,0.000176109
4,17.4746,1.07884,2.14111,1.43671,0.0033,1,0.69446,0.51695,0.97085,2.94083,1.55109,0.000235197,0.000235197,0.000235197
5,22.0452,0.87766,1.84854,1.33758,0.9644,0.5,0.90125,0.61953,0.99772,2.68447,1.5099,0.000291645,0.000291645,0.000291645
6,26.7728,0.90975,1.72516,1.33549,0.97119,0.5,0.995,0.72708,0.85567,2.72964,1.34324,0.000345452,0.000345452,0.000345452
7,31.5226,1.09855,1.69419,1.54178,0.00333,1,0.92,0.78256,0.60169,3.10114,1.20141,0.000396619,0.000396619,0.000396619
8,36.1931,1.01945,1.66001,1.44769,0.00332,1,0.86021,0.715,0.72069,3.11198,1.27586,0.000445146,0.000445146,0.000445146
9,40.8028,0.96508,1.48352,1.3348,0.00333,1,0.95333,0.70025,0.83268,3.19342,1.3487,0.000491032,0.000491032,0.000491032
10,45.5352,0.85574,1.43138,1.29445,0.86141,0.5,0.995,0.66539,0.70222,2.84939,1.25618,0.000534277,0.000534277,0.000534277
11,57.7248,0.87786,1.34888,1.24257,0.98593,0.5,0.995,0.64168,0.7206,2.50268,1.2646,0.000574882,0.000574882,0.000574882
12,70.1187,0.80929,1.31452,1.29259,0.9887,0.5,0.995,0.77265,0.70346,2.34741,1.19465,0.000612846,0.000612846,0.000612846
13,78.1491,0.86527,1.3073,1.24777,0.98689,0.5,0.87,0.64527,0.79008,2.32663,1.22479,0.00064817,0.00064817,0.00064817
14,82.2494,0.80312,1.32035,1.30028,0.51903,0.625,0.71191,0.47687,0.90468,2.26255,1.30969,0.000680853,0.000680853,0.000680853
15,86.6274,0.84892,1.16356,1.26945,0.69654,0.84031,0.77625,0.61214,0.84982,1.84447,1.24839,0.000710895,0.000710895,0.000710895
16,90.8802,0.79288,1.16536,1.21436,0.69654,0.84031,0.77625,0.61214,0.84982,1.84447,1.24839,0.000738298,0.000738298,0.000738298
17,95.2935,0.75998,1.07736,1.13878,0.78707,1,0.92208,0.65722,0.88373,1.67279,1.3812,0.000763059,0.000763059,0.000763059
18,99.662,0.75863,1.22909,1.22819,0.95419,1,0.995,0.77314,0.80703,1.61127,1.34506,0.00078518,0.00078518,0.00078518
19,103.991,0.94935,1.41539,1.47432,0.95419,1,0.995,0.77314,0.80703,1.61127,1.34506,0.000804661,0.000804661,0.000804661
20,108.403,0.89143,1.34615,1.37662,0.94838,1,0.995,0.70727,0.80994,1.77768,1.28104,0.000821501,0.000821501,0.000821501
21,112.796,0.867,1.07382,1.21708,0.93701,1,0.995,0.77282,0.78234,1.52266,1.33741,0.0008357,0.0008357,0.0008357
22,117.043,0.83169,0.99956,1.17678,0.93701,1,0.995,0.77282,0.78234,1.52266,1.33741,0.000847259,0.000847259,0.000847259
23,121.281,0.89027,1.16633,1.24557,0.95609,1,0.995,0.80927,0.72859,1.48597,1.24371,0.000856178,0.000856178,0.000856178
24,125.527,0.69883,0.94924,1.10675,0.95609,1,0.995,0.80927,0.72859,1.48597,1.24371,0.000862456,0.000862456,0.000862456
